"f <N> <-'en; de; -'s; de> 1. (letter) f 2. (muzieknoot) [G-muz] f, fa "
"f-sleutel <N> <-s; de> f-vqti, fa-vqti, bassivqti "
"fabriekshal <N> <-len; de; mf> tootmisruum "
"fabriekspoort <N> <-en; de; m/f> vabrikuvxrav, tehasevxrav "
"fabrieksschoorsteen <N> <fabrieksschoorstenen; de; m> vabrikukorsten "
"fabrieksterrein <N> <-en; het; n> tccstuslik territoorium "
"fabrikant <N> <-en; de; m/f> 1. (eigenaar van een fabriek) vabrikant, tccstur a. hij is een fabrikant van babyvoeding ta on lastetoidu vabrikant 2. (producent) tootja a. Swatch is een fabrikant van horloges Swatch on kxekellade tootja "
"fabuleus <A> <adv; mixed> uskumatu, vxheusutav, ebatqenxoline, >> (wonderbaarlijk) imepxrane, >> (buitengewoon) erakordne a. een fabuleus wereldrecord erakordne maailmarekord b. een fabuleuze start erakordne algus/alustamine/start, >> (wonderbaarlijk) imepxrane algus "
"faáade <N> <-cades; de; mf; -caden> fassaad a. de westelijke faáade van de kathedraal katedraali lxxnefassaad b. achter die faáade ging een grote criminele organisatie schuil petliku fassaadi taga peitus vqimas kuritegelik organisatsioon "
"facelift <N> <--lifts; -s; de; m> kosmeetiline nxooperatsioon, >> (nxos) iluravioperatsioon a. een facelift ondergaan kosmeetilist nxooperatsiooni laskma teha "
"facet <N> <-ten; het; n> 1. (vlak van een edelsteen) fassett 2. (aspect) aspekt, tahk a. dit onderwerp heeft vele facetten sellel teemal on mitu tahku, see on mitmetahuline kysimus 3. (deel van insektenoog) [dierk] fassett "
"facie <N> <-s; de/het  n; mfn> [informal] lqust a. iemand op zijn facie timmeren [kelle]/[kellel] nxo sisse lccma "
"faciliteit <N> <-en; de; mf> << (asutuste juurde kuuluv) varustus, materiaalsed vqimalused, seadmed, rajatis a. gebruik maken van faciliteiten seadmeid/varustust kasutama b. faciliteiten bieden/verstrekken/verlenen [mingeid/mille] vqimalusi pakkuma c. beperkte faciliteiten << (tcc-, sporditegemisel vms.) piiratud vqimalused "
"faciliteitenregeling <N> <-en; de; mf> [belg, adm] Brysseli ja keelepiiri ymbruse keelekorraldust sxtestav mxxrus "
"facsimile <N> <-'s; het; n> 1. (nauwkeurige reproductie) [kunst] faksiimile a. een facsimile van een oud handschrift vana kxsikirja faksiimile b. een facsimile uitgeven faksiimile vxlja andma 2. (faxbericht) [formal, rare] faks a. een facsimile versturen faksi saatma "
"facsimile-uitgave <N> <-n; de; mf; -s> faksiimilevxljaanne "
"factie <N> <-s; de; f; -ân> faktsioon, kildkond "
"factor <N> <-en; de; m> 1. (omstandigheid) faktor, tegur a. een onzekere factor ebakindel faktor 2. (wiskunde) [wisk] tegur "
"factotum <N> <-s; de/het  n; mn> faktootum, inimene, kes kellegi huvides kqiku asju toimetab "
"factuur <N> <-ren; de; f> faktuur, << (kaupade kohta) arve "
"factuurnummer <N> <-s; het; n> [adm] faktuurinumber a. vermeld bij betaling het factuurnummer tasumisel teatada faktuurinumber "
"facultatief <A> <adv; ncompar> fakultatiivne, valikuvaba, ~~ (valikuvabadusel pqhinev) (vrijwillig) vabatahtlik a. iets facultatief stellen [mille] fakultatiivseks muutma b. een facultatief vak valikaine "
"faculteit <N> <-en; de; f> 1. (hoofdafdeling van een universiteit) teaduskond a. een hoogleraar aan de faculteit der letteren humanitaarteaduskonna professor 2. (product van factoren) [wisk] faktoriaal "
"faculteitsraad <N> <-den; de; m> teaduskonnanqukogu "
"fagot <N> <-ten; de; m> fagott a. fagot spelen fagotti mxngima "
"fagottist <N> <-en; de; m/f> fagotist, fagotimxngija "
"fagottiste <N> <-s; de; f> << (nais-) fagotist "
"Fahrenheit <N> <-; noart; n.a.> Fahrenheit a. zeven graden Fahrenheit seitse kraadi Fahrenheiti jxrgi "
"failliet 1 <N> <-en; het; n> 1. (volslagen mislukking) pankrot a. een moreel failliet moraalne pankrot "
"failliet 2 <A> <nonadv; ncompar> 1. (bankroet) pankrotti/pankrotis a. failliet gaan pankrotti minema, related equivalent laostuma b. een bedrijf failliet verklaren ettevqtte 'pankroti vxlja kuulutama'/'pankrotistunuks kuulutama' c. die zaak is failliet xri on pankrotis, xri on pankrotti jxxnud/lxinud "
"faillissement <N> <-en; het; n> pankrot a. het faillissement aanvragen [econ] pankrotti taotlema b. in staat van faillissement verkeren [econ] pankrotis olema "
"faillissementsaanvraag <N> <-gen; de; mf> pankrotitaotlus "
"fair <A> <adv; -er/-st> qiglane, aus a. dat is niet fair nii ei ole aus "
"fait accompli <N> <-s accomplis; het; n> vaieldamatu fakt, teostunud tqsiasi a. iemand voor een fait accompli plaatsen/stellen [keda] fakti ette panema, [keda] fakti ette seadma "
"fakir <N> <-s; de; m> 1. (slangenbezweerder en pijnkunstenaar) fakiir 2. (islamitische bedelmonnik) fakiir "
"fakkel <N> <-s; de; mf> tqrvik, tungal a. de olympische fakkel olympiatqrvik b. branden als een fakkel tuleroaks minema/saama/langema, pqlema nagu takukoonal c. de fakkel brandend houden asja edasi ajama, (mingit) tuld elus hoidma d. de fakkel overnemen tqrviku yle vqtma, (tule)tungalt edasi kandma "
"fakkeldrager <N> <-s; de; m> 1. (degene die de fakkel draagt) tqrvikukandja 2. (ijveraar) eestvedaja "
"fakkeloptocht <N> <-en; de; m> tqrvikutega rongkxik "
falen <V> <h> lxbi kukkuma, ~~ (midagi yritades, pyydes) (niet slagen, mislukken) nurjuma, ~~ (hrl. midagi yritades, pyydes) (niet slagen, mislukken) ebaqnnestuma a. al mijn pogingen faalden kqik mu jqupingutused nurjusid b. falen op het punt van wetgeving seadusandluse 'koha pealt'/seisukohalt nurjuma, seadusandluse 'koha pealt'/seisukohalt kqlbmatuks osutuma 
"falie <N> <-s; de> a. op je falie krijgen tuuseldada saama "
"faliekant <A> <adv; ncompar; pred; nondeclin> 1. (volledig) txielik a. een faliekante mislukking txielik lxbikukkumine 2. (mordicus) txielikult a. ergens faliekant op tegen zijn txielikult [mille] vastu olema, [millele] xgedalt vastu raiuma "
"faling <N> <-en; de; f> [belg, econ] pankrot "
"fall-out <N> <-; de; m> radioaktiivne sade "
"fallus <N> <-sen; de; m> fallos "
"fallussymbool <N> <-len; het; n> fallosesymbol "
"falset 1 <N> <-ten; de/het  n; mn> 1. (kopstem) [muz] related equivalent falsett "
falset 2 <Adv> 1. (met falsetstem) >> (met een voorwerp) falsetiga, >> (zonder voorwerp) falsetti a. falset zingen falsetti laulma 
falsificeren <V> <h> 1. (vervalsen) vqltsima, falsifitseerima a. een handtekening falsificeren allkirja vqltsima 2. (tonen dat iets onjuist is) kummutama, vxxraks tunnistama, ymber lykkama, falsifitseerima 
"fameus <A> <adv; -er/-st> 1. (vermaard) kuulus 2. (enorm) tohutu a. een fameus fortuin tohutu varandus "
"familiair <A> <adv; -er/-st> ~~ (usalduslik, sundimatu) (vrijpostig) familiaarne, ~~ (suhtluselt lxhedastele inimestele iseloomulik) (vertrouwelijk) usalduslik, >> (lxhedastele inimestele iseloomulik) sundimatu a. familiair met iemand omgaan/zijn ~~ (lxhedastele inimeste moodi) (vertrouwelijk) [kellega] usalduslikes suhetes olema "
"familiariteit 1 <N> <-; de; f> 1. (ongedwongen omgang) sundimatus, ~~ (lihtsus ja kergus) (vrijpostigheid) familiaarsus, sundimatu kxitumine, << (suhtluses) kodusus a. ongedwongen familiariteit elegantne sundimatus b. de familiariteit van die man is toch wat overdreven mees pakub oma sundimatu kxitumisega siiski veidi yle "
"familiariteit 2 <N> <-en; de; f> 1. (vrijpostige uiting) familiaarsus a. zich familiariteiten veroorloven endale familiaarsusi lubama, endale liiga suurt vabadust lubama "
"familie <N> <-s; de; f> 1. (huisgezin) perekond, pere a. de familie Wouters perekond Wouters 2. (geslacht) sugulaskond, suguvqsa, sugulased a. de koninklijke familie kuninglik suguvqsa b. familie en vrienden sqbrad ja sugulased c. zij is nog familie van me ta on veel mu sugulane d. van je familie moet je het maar hebben su oma sugulased veavad sind alt e. dat komt in de beste families voor seda tuleb parimates perekondadeski ette f. het zit in de familie see on [kellel] suguvqsa vxrk 3. (taxonomische rang) [G-biologie] sugukond "
"familieaangelegenheid <N> <-den; de; f> perekonnaasi, >> (intern) perekonnasisene asi a. louter een familieaangelegenheid zijn see on vaid perekonnasisene asi "
"familieband <N> <-en; de; m> sugulussuhted, sugulussidemed a. een sterke familieband tugevad sugulussidemed "
"familiebedrijf <N> <-ven; het; n> perefirma "
"familiebetrekking <N> <-en; de; f> sugulussuhe "
"familiebezit <N> <-; het; n> suguvqsa omandus a. het bedrijf is al honderd jaar in familiebezit ettevqte on juba sada aastat [kelle] suguvqsa omandus "
"familiebezoek <N> <-en; het; n> 1. (bezoek aan familie) sugulaste poole kyllaminek, sugulaste kylastamine a. op familiebezoek gaan sugulastele kylla minema, sugulasi kylastama 2. (bezoek van familie) sugulaste kylaskxik "
"familiedag <N> <-en; de; m> pereyritus, perepxev a. de voetbalclub hield een familiedag jalgpalliklubi korraldas yrituse perekonnaliikmetele "
"familiegraf <N> <-ven; het; n> perekonnahaud "
"familiehotel <N> <-s; het; n> perehotell, perekondadele sobiv hotell "
"familiekring <N> <-en; de; m> perekonnaring, perekondlik ring a. in  familiekring perekondlikus ringis "
"familieleven <N> <-; het; n> pereelu, perekonnaelu a. het familieleven is bij hen sterk ontwikkeld neil on aktiivne pereelu, nad elavad aktiivset perekonnaelu, nende eluviis on vxga perekeskne "
"familielid <N> <-eden; het; n> 1. (gezinslid) perekonnaliige, pereliige a. familieleden van het slachtoffer kannatanu perekonnaliikmed b. vrienden en familieleden sqbrad ja perekonnaliikmed 2. (verwante) sugulane a. een ver familielid kauge sugulane "
"familienaam <N> <-men; de; m> 1. (geslachtsnaam) perekonnanimi 2. (naam van de familie van plant of dier) perekonna nimetus "
"familierecht <N> <-; het; n> [jur] perekonnaqigus "
"familierelatie <N> <-s; de; f> sugulussuhe "
"familieverband <N> <-en; het; n> suhted perekonnaga, suhted sugulastega "
"familieziek <A> <nonadv; -er/-st> suguvqsaga lxbikximist yleliia txhtsaks pidav "
"fan <N> <-s; de; m/f> fxnn, fanatt, fanaatik, >> (vereerder) austaja a. een grote fan innukas fxnn, suur fanatt b. een trouwe fan << (sqge) truu austaja, truu fanatt "
"fanaat <N> <-ten; de; m/f> fanaatik "
"fanaticus <N> <fanatici; de; m> [pejor] fanaatik "
"fanatiek <A> <adv; -er/-st> fanaatiline, yliagar, >> (als bijwoord) qhinal a. fanatiek 'aan de slag'/'er tegenaan' gaan fanaatiliselt pihta hakkama b. fanatiek spelen qhinal/qhinaga mxngima c. fanatieke aanhangers/supporters fanatid "
"fanatiekeling <N> <-en; de; m/f> [pejor] fanaatik "
"fanatisme <N> <-; het; n> [pejor] fanatism, hullustus, fanaatilisus, >> (religieus) usuhullustus, << (sqge ja liialdatud) innukus a. blind fanatisme pime fanatism "
"fanclub <N> <-s; de; m> sqprade/austajate klubi "
"fancy fair <N> <--fairs; -s; de; m> heategev laat "
"fanfare <N> <-s; de; mf; -n> 1. (trompetsignaal) fanfaar 2. (muziekstuk) [muz] puhkpillipala, lqbus puhkpillilugu 3. (fanfarekorps) [muz] << (ilma puupuhkpillideta) puhkpilliorkester "
"fanmail <N> <-; de; mf> austajate kirjad a. stapels fanmail kuhjade viisi austajate kirju "
fantaseren 1 <V> <h> 1. (bedenken) vxlja mqtlema, ette kujutama, kujutama a. ik moet toegeven dat ik alles helemaal heb gefantaseerd pean yles tunnistama, et kqik on puhas fantaasia vili b. fantaseren dat... [sellest] fantaseerima, et..., << (rikkaliku fantaasiaelemendiga) kujutlema, et... 
fantaseren 2 <V> <h> 1. (dagdromen) fantaseerima a. fantaseren over iets [millest] fantaseerima 
"fantasie 1 <N> <-; de; f> 1. (verbeeldingskracht) fantaasia, kujutlusvqime a. de afloop wordt aan de fantasie van de kijker overgelaten loo lqpp jxetakse vaataja fantaasia/kujutlusvqime hooleks b. een voorstelling die de fantasie prikkelt fantaasiat/kujutlusvqimet erutav etendus c. een onuitputtelijke fantasie piiritu fantaasia d. een levendige fantasie elav fantaasia/kujutlusvqime e. dat is aan de fantasie ontsproten see on (pelgalt) [kelle] fantaasia/kujutlusvqime vili 2. (verbeelding) fantaasia, ettekujutlus, >> (geestesoog) vaimusilm a. in zijn fantasie hield hij prachtige toespraken vaimusilmas pidas ta hiilgavaid kqnesid "
"fantasie 2 <N> <-ân; de; f> 1. (product van de verbeelding) fantaasia, unistus, kujutlus, ettekujutus, ettekujutlus, kujutluspilt a. dat overtreft de stoutste fantasieân see yletab kujutlusvqime piirid b. de meest wilde fantasieân kujutlusvqime tipp, julgeimgi unistus 2. (muzikale compositie) [muz] fantaasia "
"fantasieloos <A> <adv; mixed> fantaasiavaene a. fantasieloos spel fantaasiavaene mxng "
"fantasierijk <A> <adv; -er/-st> fantaasiakyllane, fantaasiarikas a. een fantasierijke geest fantaasiakyllane hing "
"fantast <N> <-en; de; m/f> [pejor] fantast, fantaseerija "
"fantaste <N> <-s; de; f> [pejor] << (naissoost) fantast, << (naissoost) fantaseerija "
"fantastisch 1 <A> <adv; mixed> 1. (geweldig) fantastiline a. een fantastische kerel fantastiline kuju b. een fantastisch schouwspel fantastiline nxitemxng "
"fantastisch 2 <A> <nonadv; mixed> 1. (verzonnen) fantastiline, >> (onwaar) ebatqeline a. fantastische beweringen/verhalen tqepqhjata vxited/jutud b. fantastische avonturen fantastilised seiklused "
"fantoom <N> <-men; het; n> 1. (spook) fantoom 2. (model van menselijk lichaam) [med] fantoom "
"FAO <N> <-; de; f> [pol] YRO Toidu- ja Pqllumajandusorganisatsioon "
"farao <N> <-'s; de; m> vaarao "
"farce <N> <-n; de; mf; -s> 1. (vulsel voor gevogelte, vlees enz.) [cul] farss 2. (schijnvertoning) farss "
"farm <N> <-s; de; m> [landb] talupidamine, talu, << (era-) farm "
"farmaceut <N> <-en; de; m/f> 1. (apotheker) [med] farmatseut 2. (farmaciestudent) [med] farmaatsiatudeng "
"farmaceutisch <A> <nonadv; ncompar; attr> farmaatsia-, farmatseutiline a. de farmaceutische industrie farmaatsiatccstus "
"farmacie 1 <N> <-; de; f> 1. (kennis van geneesmiddelen) farmaatsia "
"farmacie 2 <N> <-ân; de; f> 1. (apotheek) [belg] apteek "
"farmacieconcern <N> <-s; het; n> farmaatsiakontsern "
"farmer <N> <-s; de; m/f> taluomanik, talunik, farmer "
"fascinatie <N> <-s; de; f> kytkestus, kytkestatus, vqlutus, lummatus a. een fascinatie hebben voor zeilschepen [keda] vqluvad purjelaevad "
fascineren <V> <h> kcitma, kytkestama, paeluma, vqluma, >> (betoveren) lummama, veetlema, << (lummates, kcites) vaimustama, >> (grijpen) haarama, >> (meeslepen) kaasa kiskuma, >> (aansteken) nakatama, >> (aansteken) sytitama a. zijn verhalen konden me enorm fascineren vqisin xxretult ta lugudest lasta end kytkestada b. duizenden mensen fascineren >> (betoveren) tuhandeid inimesi lummama 
"fascinerend <A> <adv; -er/-st; prespa> kytkestav, veetlev, >> (van verhalen, gebeurtenissen) kcitev, >> (van verhalen, gebeurtenissen) kaasakiskuv, paeluv, vqluv, lummav, >> (van verhalen, gebeurtenissen, persoonlijkheden) haarav, >> (van verhalen, gebeurtenissen, persoonlijkheden) nakatav, << (van verhalen, gebeurtenissen, persoonlijkheden) sytitav a. een fascinerend gezicht/schouwspel >> (betoverend) lummav nxgu/nxitemang b. een fascinerende vrouw kytkestav naisterahvas "
"fascisme <N> <-; het; n> [pejor] faswism a. de strijd tegen het fascisme faswismivastane vqitlus b. opkomend fascisme pead tqstev faswism "
"fascist <N> <-en; de; m/f> [offens, pol] faswist "
"fascistisch <A> <adv; mixed> faswistlik a. fascistische leuzen/symbolen faswistlikud loosungid/symbolid "
"fase <N> <-s; de; f; -n> 1. (trap van ontwikkeling) faas a. een oriânterende/ beslissende fase orienteeruv/otsustav faas b. anale/orale fase [psych] anaalne/oraalne faas c. een vroege/late fase varane/hiline faas d. in de beslissende fase zijn otsustavas faasis olema e. in de laatste fase komen/geraken viimase faasini jqudma/arenema 2. (schijngestalte van een hemellichaam) [G-astr] faas a. de vier fasen van de maan kuu neli faasi "
"fasering <N> <-en; de; f> faasidesse jaotamine "
"fat <N> <-ten; de; m> [offens] related equivalent dxndi, edev mees, related equivalent keigar, related equivalent moenarr, related equivalent frant a. een fatje dat uren voor de spiegel doorbrengt tunde peegli ees veetev dxndi "
"fata morgana <N> <-'s; de; mf> fatamorgaana, miraazw, terendus "
"fataal <A> <adv; -er/-st> fataalne, saatuslik, >> (dodelijk) surmatoov a. iemand fataal worden [kellele] saatuslikuks saama, [kellele] kabelimatsu panema b. een fataal ongeluk/ongeval surmaga lqppev qnnetus c. fataal aflopen surmaga lqppema d. een ongeluk met fatale gevolgen saatuslike tagajxrgedega qnnetus "
"fatalisme <N> <-; het; n> fatalism a. met fatalisme schieten we niets op saatust siunates ei jqua me kuhugi "
"fatalistisch <A> <adv; mixed> fatalistlik a. een fatalistische instelling/levensbeschouwing fatalistlik kalduvus/elufilosoofia "
"fatsoen <N> <-; het; n> kombekus, korralikkus, laitmatu kxitumine, siivsus, syndsus, viisakus, korrektsus a. politiek/sociaal fatsoen poliitiline/sotsiaalne korrektsus b. een beestachtige man zonder een greintje fatsoen elementaarse syndsustundeta brutaalne mees c. dat overschrijdt de grenzen van het fatsoen see yletab viisakuse piirid d. dat kun je met goed fatsoen niet doen vxhimagi viisakuse puhul sa seda ei tee e. hou je fatsoen! kxitu korralikult! "
fatsoeneren <V> <h> korda seadma a. je kapsel fatsoeneren soengut/juukseid korda seadma 
"fatsoenlijk <A> <adv; -er/-st> 1. (welvoeglijk) korralik, ontlik a. een fatsoenlijk meisje ontlik tytarlaps, korralik tytarlaps b. zich fatsoenlijk gedragen korralikult kxituma 2. (behoorlijk) korralik, >> (talutav) normaalne a. een fatsoenlijk inkomen/salaris << (talutav, hea) normaalne sissetulek/palk, korralik sissetulek/palk b. fatsoenlijke huisvesting >> (talutav, hea) normaalne elamispind c. ergens fatsoenlijk van kunnen leven/rondkomen [millest] priskelt elama "
"fatsoensnorm <N> <-en; de; mf> viisakusreeglid a. gangbare fatsoensnormen kehtivad viisakusreeglid b. daarmee heeft hij alle fatsoensnormen overschreden sellega rikkus ta kqiki viisakusreegleid "
"fatsoensregel <N> <-s; de; m; -en> kxitumisreeglid a. afspraken, wetten en fatsoensregels kokkulepped, seadused ja kxitumisreeglid "
"fauna 1 <N> <-; de; mf> 1. (dierenwereld) fauna a. flora en fauna floora ja fauna b. wilde fauna metsloomad "
"fauna 2 <N> <-'s; de; mf> 1. (beschrijving van de dierenwereld) faunistika, loomastikuteadus "
"fauteuil <N> <-s; de; m> 1. (leunstoel) tugitool a. een geriefelijke fauteuil mugav tugitool 2. (theaterrang) parteri esikohaiste "
"favoriet 1 <N> <-en; de; m/f> 1. (lieveling) lemmik, favoriit 2. (gedoodverfde winnaar) [sport] favoriit a. de grote favoriet suurfavoriit "
"favoriet 2 <A> <nonadv; irregular> 1. (lievelings-) lemmik- a. mijn favoriete muziek/kleur minu lemmikmuusika/lemmikvxrv "
"fax <N> <-en; de; m> 1. (telekopieerapparaat) faks a. per fax faksi teel 2. (per fax verzonden bericht) faks a. een fax ontvangen/verzenden faksi saama/saatma b. er is een fax voor je sulle on faks "
faxen <V> <h> faksima 
"faxnummer <N> <-s; het; n> faksinumber a. telefoon- en faxnummer blijven ongewijzigd telefoni- ja faksinumber ei muutu "
"faxverkeer <N> <-; het; n> fakside vahetamine, kirjavahetus faksi teel a. er was sprake van een druk faxverkeer toimus aktiivne fakside saatmine yksteisele "
"fazant <N> <-en; de; m> faasan a. de jacht op de fazant faasanijaht b. een sappig brokje fazant hqrgutav faasanipraad "
"FBI <N> <-; de/het  n; mfn> FJB, Fcderaalne Juurdlusbyroo a. de FBI is ingeschakeld asjasse on pyhendatud FJB "
"FC <N> <-'s; de; mf> jalgpalliklubi, F.C. "
"februari <N> <-; de; m> veebruar, veebruarikuu a. in februari veebruaris b. op 14 februari (is het Valentijnsdag) 14. veebruaril (on valentinipxev) "
"Februaristaking <N> <-; de; MF> 1941. a. veebruaris Amsterdamis toimunud natsismivastane streik "
"fecaliân <N> <-; de; n.a.> fekaalid "
federaal <A> <adv> fcderaalne a. een federale staat fcderaalriik b. een federale structuur fcderaalne struktuur c. de federale overheid fcderaalvqimud d. een federaal Europa fcderaalne Euroopa 
"federalisering <N> <-; de; f> >> (tot federatie worden) fcdereerumine, fcderalisatsioon, related equivalent fcderaliseerimine "
"federalisme <N> <-; het; n> 1. (staatsstelsel) [pol] fcderalism 2. (het voorstaan van het federalisme) [pol] fcderalism "
"federalist <N> <-en; de; m/f> fcderalist "
"federatie <N> <-s; de; f> fcderatsioon a. de Russische Federatie Vene Fcderatsioon "
"federatief <A> <nonadv; ncompar; attr> fcderatiivne, liit-, liidu- a. een federatieve republiek liitvabariik "
"fee <N> <-ân; de; f> fee, haldjas a. een goede/boze fee hea/kuri haldjas "
"feedback <N> <-; de; m> tagasiside a. iemand feedback geven [keda] tagasisidega kindlustama "
"feeâriek <A> <adv; mixed> >> (betoverend) nqiduslik, >> (geheimzinnig) salapxrane, >> (als van feeân) haldjaslik, >> (betoverend) lummav, >> (sprookjesachtig) muinasjutuline a. een feeârieke verlichting nqiduslik valgustus "
"feeks <N> <-en; de; f> [offens] tulehark a. een feeks die flink tekeer kan gaan kergesti xgestuv tulehark b. de getemde feeks taltsutatud tulehark "
"feeling <N> <-; de; f> related equivalent intuitsioon, >> (talent) anne, >> (voor praktische handelingen) kxsi a. feeling hebben voor iets [kellel] on [mille] peale kxtt "
"feest <N> <-en; het; n> 1. (viering van een gedenkdag) pyha a. het feest van Kerstmis jqulupyha, jqulud 2. (samenzijn om iets te vieren) pidu a. een feestje bouwen [informal] pidu pysti panema b. een feestje vieren/geven pidu pidama/korraldama c. een groot/daverend/uitbundig feest suur/vxgev/vqimas pidu d. het feest van de roeivereniging squdeyhingu pidu e. het feest van de zonnewende pccripxevapidu f. een feestje voor/'ter ere van' het bruidspaar pidu pruutpaari auks g. het was daar ÇÇn groot feest [informal] kqik olid ylevas meeleolus h. in dat geval gaat het hele feest niet door [informal] sel juhul tuleb kqigest suu puhtaks pyhkida, sel juhul jxxb kogu pidu xra i. dat feest gaat niet door! [informal] ei lxhe lxbi! "
"feestdag <N> <-en; de; m> 1. (dag van jaarlijks feest) pyha a. de Franse nationale feestdag Prantsuse rahvuspyha b. de feestdag van Sint-Martinus mardipxev c. tijdens/met/rond de feestdagen pyhade ajal d. op zon- en feestdagen [formal] pyhapxeviti ja riiklike pyhade ajal e. prettige feestdagen! hxid pyhi! 2. (dag waarop feest wordt gevierd) pidupxev "
"feestelijk <A> <adv; -er/-st> pidulik a. een feestelijke opening/stemming pidulik avamine/meeleolu b. een feestelijke gebeurtenis/bijeenkomst pidulik syndmus/kokkutulek c. een feestelijke jurk pidulik kleit d. iets feestelijk openen/'in gebruik nemen' [mille] pidulikult avama/'kasutusele vqtma' e. het oude/nieuwe jaar feestelijk uitluiden/inluiden vana/uue aasta suure peoga 'xra saatma'/'vastu vqtma' f. dank je feestelijk! << (ma ei soovi sellest kuuldagi) txnan, ei! "
"feestelijkheid <N> <-den; de; f> pidustused a. de feestelijkheden rond de opening van het nieuwe stadhuis uue raekoja avamispidustused "
feesten <V> <h> pidutsema a. er werd gedanst en gefeest tot in de kleine uurtjes pidu kxis hilise cctunnini 
"feestganger <N> <-s; de; m/f> piduline "
"feestgedruis <N> <-; het; n> [formal] peokxra "
"feestmaal <N> <feestmalen; het; n> 1. (banket) pidusccmaaeg, pidusccming a. een feestmaal aanrichten pidusccmingu korraldama 2. (voortreffelijke maaltijd) erakordselt hea sccmaaeg "
"feestneus <N> <-zen; de; m> 1. (schertsneus voor op feestjes) valenina a. een feestneus opzetten valenina ette panema 2. (fuifnummer) peolqvi "
"feestnummer <N> <-s; de/het  n; mfn> 1. (feestvierder) [jocular] peolqvi a. hij is op het eerste gezicht niet zo'n feestnummer 2. (nummer van een blad of tijdschrift) juubelivxljaanne, pyhadevxljaanne "
"feeststemming <N> <-en; de; f> peotuju, peomeeleolu a. in feeststemming zijn peotujus olema b. het gezelschap was in een uitbundige feeststemming seltskond oli oivalises peomeeleolus "
"feestvarken <N> <-s; het; mfn> [jocular] peoperemees "
"feestverlichting <N> <-en; de; f> peotulestik "
"feestvierder <N> <-s; de; m/f> piduline "
"feestvieren <V> <h; sch> pidu pidama, pidutsema, pidu panema a. de hele nacht feestvieren cc lxbi pidu panema "
"feestvierster <N> <-s; de; f> << (naissoost) piduline "
"feestvreugde <N> <-; de; f> peotuju, pidutuju, pidurqqm a. de feestvreugde verstoren peotuju rikkuma b. de feestvreugde verhogen peotuju tqstma "
"feestzaal <N> <-len; de; mf> pidusaal "
